year,child,contribution_pp,share_of_parent
2011,CP09,-0.3304881984900497,0.07536419697917583
2011,CP10,0.06584289041960073,-0.015014746626150648
2011,CP11,-0.490588321921045,0.11187326838859614
2011,CP12,0.08053996417397682,-0.018366252569488057
2012,CP01,-0.18520392743206085,0.0633356572933611
2012,CP02,-0.1838447988060921,0.06287086528778374
2012,CP03,-0.0817742389958098,0.02796498566891316
2012,CP04,-0.07679076736725628,0.026260748315128975
2012,CP05,-0.2757218939216059,0.09429080486482304
2012,CP06,-0.198070345091236,0.06773568827949503
2012,CP07,-1.089885245164652,0.3727167092726006
2012,CP08,-0.054319840751233035,0.01857618715624752
2012,CP09,-0.1477372816428454,0.05052289100627474
2012,CP10,-0.08653118918670176,0.02959175768843442
2012,CP11,-0.23295464649110972,0.07966534975598402
2012,CP12,-0.3113310639219975,0.1064683554109537
2013,CP01,-0.521536728716292,-0.36673189823875074
2013,CP02,0.3705118631257297,0.2605348988910633
2013,CP03,-0.7113382489855037,-0.5001956947162438
2013,CP04,0.31466605901915184,0.22126549249837227
2013,CP05,0.1907291914337762,0.13411611219830433
2013,CP06,0.019110025989958684,0.013437703848661815
2013,CP07,0.4946342649440148,0.3478147423352911
2013,CP08,0.5130021540023252,0.36073059360730625
2013,CP09,0.4222759141082438,0.29693411611219905
2013,CP10,0.2113234912870335,0.14859752120026087
2013,CP11,0.3096566347305168,0.21774298760600103
2013,CP12,-0.19091472566668743,-0.1342465753424654
2014,CP01,0.11205178237961153,0.11800610376398699
2014,CP02,-0.009320243781342353,-0.009815512358747303
2014,CP03,0.19102583682936225,0.20117676170575452
2014,CP04,0.039970009045477366,0.0420939759698667
2014,CP05,0.04151032944631489,0.04371614748013527
2014,CP06,-0.028274016849282456,-0.02977647026477143
2014,CP07,0.3659696843889576,0.3854169530670042
2014,CP08,-0.06242213692210004,-0.06573918781446766
2014,CP09,0.04863757469087089,0.05122212751917741
2014,CP10,2.610712543796951e-05,2.7494432377481073e-05
2014,CP11,0.23117859575290464,0.24346319870226277
