year,child,contribution_pp,share_of_parent
2006,N11OG,0.5082638613100712,-0.7743319036621609
2007,N111G,-0.5213304945700148,-0.38708513708513786
2007,N112G,0.5440688609687794,0.4039682539682532
2007,N1131G,0.40559803995065047,0.3011544011544015
2007,N1132G,0.09416015829232895,0.06991341991342012
2007,N115G,-0.0043727627689936,-0.003246753246753253
2007,N117G,0.4427179372341075,0.3287157287157293
2007,N11OG,0.38596919374316824,0.286580086580087
2008,N111G,6.801784938130388,-6.361087510620198
2008,N112G,-2.0872313203358583,1.9519966015293053
2008,N1131G,0.3856494866082995,-0.3606627017841944
2008,N1132G,-1.1492263852991778,1.0747663551401834
2008,N115G,0.09902424980048256,-0.09260832625318581
2008,N117G,-3.173772630073262,2.9681393372982052
2008,N11OG,-1.9455085408048933,1.8194562446898843
2009,N111G,-0.5761397720033412,0.4507350367518379
2009,N112G,-0.17787891362375788,0.13916112472290237
2009,N1131G,-0.3458777366773438,0.2705926963014818
2009,N1132G,-0.09712315447283393,0.0759829658149574
2009,N115G,0.003728336064216274,-0.0029168125072920313
2009,N117G,0.025464535318597218,-0.019921829424804628
2009,N11OG,-0.110396030861444,0.08636681834091715
2010,N111G,0.5390714754473379,2.0938586326767146
2010,N112G,0.01587083701925667,0.06164542294321811
2010,N1131G,0.12022457366091707,0.46697566628041837
2010,N1132G,-0.10602435106473931,-0.41181923522595715
2010,N115G,-0.003281564045335206,-0.01274623406720745
2010,N117G,-0.03281564045335206,-0.1274623406720745
2010,N11OG,-0.2755917150073328,-1.0704519119351121
2011,N111G,-0.8214431232920137,0.1905187325362579
2011,N112G,-1.5227390233229217,0.3531715105780383
2011,N1131G,-0.5177148767670012,0.12007451196563321
2011,N1132G,-0.19792329070639678,0.04590469311334562
2011,N115G,-0.00819558139571001,0.001900815449827976
2011,N117G,0.03237254651305454,-0.007508221026820505
2011,N11OG,-1.2759700674980914,0.29593795738371753
2012,N111G,-0.25941244538013764,0.09100233254478989
2012,N112G,-1.916615164076518,0.672351899948717
2012,N1131G,-0.27978440982373315,0.0981488527519066
2012,N1132G,-0.05687173407170445,0.0199507022448676
2012,N115G,-0.006130452263119046,0.002150573210474946
2012,N117G,-0.06677477234289643,0.023424705123327012
2012,N11OG,-0.2650241670671465,0.0929709341759169
2013,N111G,0.3192559962884852,0.6499227770831794
2013,N112G,0.40708120020127375,0.8287122159299847
2013,N1131G,-0.13934257979910467,-0.28366551445171706
2013,N1132G,-0.01726879780761532,-0.03515481356181521
2013,N115G,0.00032514472859525805,0.0006619107155990119
2013,N117G,0.0033237016700852066,0.006766198426123938
2013,N11OG,-0.08215323475840397,-0.16724277414135463
2014,N111G,-0.008341617855110816,-0.013654382616356146
2014,N112G,-0.4038060600398717,-0.6609895756863873
2014,N1131G,0.18109383278998295,0.2964322419615326
2014,N1132G,0.10942767508854834,0.17912200851563626
2014,N115G,0.01892560610138005,0.030979298194097695
2014,N117G,0.12019105296611048,0.196740566730289
2014,N11OG,0.5934209003162588,0.971369842901188
2015,N111G,0.03092399453588067,0.06197010263275337
2015,N112G,0.21198662680942082,0.42481035252119564
2015,N1131G,0.11387044252591129,0.22819053993752772
2015,N1132G,0.027222022192701333,0.05455153949129844
2015,N115G,0.013193495418548513,0.02643908969210173
2015,N117G,-0.0007793625985638441,-0.0015618027666216361
2015,N11OG,0.10259751922525281,0.20560017849174472
2016,N111G,0.6116271364217558,0.4924611459058231
2016,N112G,-0.7131808649138277,-0.5742287172349811
2016,N1131G,0.7648940401317758,0.6158663883089774
2016,N1132G,-0.26072659371723433,-0.20992809093017878
2016,N115G,0.03010599894303981,0.024240315472048305
2016,N117G,0.20339555266780904,0.16376710739967515
2016,N11OG,0.6058652227484453,0.4878218510786358
2017,N111G,0.21381920151194223,0.14734578685660532
2017,N112G,0.5868911939347305,0.4044348877838999
2017,N1131G,0.11701160243265721,0.08063432334363664
2017,N1132G,0.06911485317022288,0.04762800698830806
2017,N115G,0.003432340338024594,0.0023652734847466627
2017,N117G,0.1709929550215896,0.11783362451283426
2017,N11OG,0.2898767430931694,0.19975809702996913
2018,N111G,0.21050614446832133,0.20688879895678725
2018,N112G,0.20698322051177787,0.20342641305814163
2018,N1131G,0.11511268408656747,0.11313458338954079
2018,N1132G,0.03234684723736209,0.03179099779666342
2018,N115G,-0.015921786193213636,-0.015648185619857004
2018,N117G,0.16411335366395766,0.1612932236161696
2018,N11OG,0.30434402803809535,0.2991141688025542
2019,N111G,0.020956509399500473,0.06378896882494008
2019,N112G,0.21136136622924756,0.6433573141486811
2019,N1131G,0.011691526296563393,0.03558752997601911
2019,N1132G,0.004569464455530178,0.013908872901678663
2019,N115G,0.0012920554667361175,0.003932853717026375
2019,N117G,0.05978120049752249,0.18196642685851352
2019,N11OG,0.0188766152335349,0.057458033573141165
2020,N111G,0.10342691592168736,0.5570674248578384
2020,N112G,-0.11654852246224404,-0.6277416734362294
2020,N1131G,0.17186288106855685,0.9256701868399672
2020,N1132G,-0.0038459881239563134,-0.02071486596263209
2020,N115G,-0.0033558131669814873,-0.018074735987002502
2020,N117G,-0.06702199892482663,-0.36098700243704296
2020,N11OG,0.10114571708345847,0.5447806661251013
2021,N111G,0.5809499205901445,0.3615186908286427
2021,N112G,0.15914430870018076,0.09903373784038821
2021,N1131G,0.09138773048880254,0.0568695708754921
2021,N1132G,0.14058444352653882,0.08748413963626896
2021,N115G,-0.0240494027602112,-0.014965676546182135
2021,N117G,0.14743329518216414,0.09174610404398602
2021,N11OG,0.5115203404476222,0.3183134333214041
2022,N111G,0.043580884011689684,0.13233858597127285
2022,N112G,0.0026864928500354253,0.00815785803932431
2022,N1131G,0.05382170291011636,0.16343606191605073
2022,N1132G,0.008587592529173892,0.026077255612885333
2022,N115G,-0.009437167191150956,-0.028657091061218814
2022,N117G,0.08626627040670111,0.26195788592943825
2022,N11OG,0.14380773264763627,0.43668944359224726
2023,N111G,0.2117119289784501,0.14765757290686776
2023,N112G,0.34734999968482644,0.24225776105362198
2023,N1131G,0.32744130911575153,0.2283725305738474
2023,N1132G,0.04586012732713606,0.03198494825964249
2023,N115G,-0.021689142571186728,-0.01512699905926623
2023,N117G,0.1039136532141932,0.07247412982126064
2023,N11OG,0.41921551686099673,0.29238005644402604
2024,N111G,0.20417572546098978,0.2454545454545452
2024,N112G,0.10185807625821419,0.12245102963334986
2024,N1131G,0.09153857468488427,0.11004520341536925
2024,N1132G,-0.017338433817538565,-0.020843797086891037
2024,N115G,-0.009692811194382998,-0.011652435961828236
2024,N117G,0.07649800559015184,0.09196383726770452
2024,N11OG,0.3847878926735666,0.46258161727775043
