quarter,component,slope,lo90,hi90
2015Q1,P31_S14_S15,-0.0016787481307966802,-0.02012664015586916,0.0167691438942758
2015Q2,P31_S14_S15,-0.0016787481947692312,-0.020126640346137765,0.0167691439565993
2015Q3,P31_S14_S15,-0.0016787482629287583,-0.020126640547810257,0.016769144021952738
2015Q4,P31_S14_S15,-0.0016787483276453387,-0.020126640753256694,0.016769144097966017
2016Q1,P31_S14_S15,-0.0016787483890320257,-0.02012664096259014,0.01676914418452609
2016Q2,P31_S14_S15,-0.0016787484481055272,-0.020126641176827286,0.016769144280616235
2016Q3,P31_S14_S15,-0.0016787485214138456,-0.02012664141251613,0.016769144369688436
2016Q4,P31_S14_S15,-0.0016787486078301988,-0.020126641668529857,0.016769144452869457
2017Q1,P31_S14_S15,-0.0016787487149364701,-0.02012664195245034,0.016769144522577398
2017Q2,P31_S14_S15,-0.001678748825516412,-0.020126642247061302,0.016769144596028476
2017Q3,P31_S14_S15,-0.0016787489312017913,-0.020126642543994457,0.016769144681590877
2017Q4,P31_S14_S15,-0.0016787490343744397,-0.020126642845631586,0.016769144776882704
2018Q1,P31_S14_S15,-0.001678749125536205,-0.020126643142474455,0.01676914489140205
2018Q2,P31_S14_S15,-0.0016787492108050611,-0.020126643440640923,0.0167691450190308
2018Q3,P31_S14_S15,-0.001678749272734546,-0.020126643722684377,0.016769145177215283
2018Q4,P31_S14_S15,-0.001678749308874964,-0.02012664398615492,0.016769145368404993
2019Q1,P31_S14_S15,-0.0016787493044350143,-0.020126644216260956,0.016769145607390925
2019Q2,P31_S14_S15,-0.0016787492712823627,-0.020126644424869767,0.016769145882305044
2019Q3,P31_S14_S15,-0.0016787491915019486,-0.020126644594065757,0.016769146211061858
2019Q4,P31_S14_S15,-0.001678749075785167,-0.020126644734539574,0.01676914658296924
2020Q1,P31_S14_S15,-0.001678748936842347,-0.020126644859000554,0.01676914698531586
2020Q2,P31_S14_S15,-0.0016787487872845222,-0.020126644980058343,0.016769147405489297
2020Q3,P31_S14_S15,-0.0016787486483263248,-0.020126645118925677,0.01676914782227303
2020Q4,P31_S14_S15,-0.0016787485247863046,-0.02012664528041852,0.01676914823084591
2021Q1,P31_S14_S15,-0.0016787483889494554,-0.0201266454368183,0.016769148658919385
2021Q2,P31_S14_S15,-0.0016787482620727948,-0.02012664560937716,0.01676914908523157
2021Q3,P31_S14_S15,-0.0016787481628514978,-0.020126645816783587,0.016769149491080593
2021Q4,P31_S14_S15,-0.0016787480991389556,-0.020126646066881818,0.016769149868603908
2022Q1,P31_S14_S15,-0.0016787480775850407,-0.020126646366309155,0.016769150211139075
2022Q2,P31_S14_S15,-0.0016787480890731832,-0.020126646705931815,0.016769150527785447
2022Q3,P31_S14_S15,-0.001678748128234847,-0.020126647080357652,0.016769150823887958
2022Q4,P31_S14_S15,-0.001678748177023152,-0.020126647471507435,0.016769151117461134
2023Q1,P31_S14_S15,-0.0016787482213832222,-0.02012664786528194,0.016769151422515498
2023Q2,P31_S14_S15,-0.001678748273302295,-0.020126648273607613,0.016769151727003023
2023Q3,P31_S14_S15,-0.001678748328815082,-0.020126648692435817,0.01676915203480565
2023Q4,P31_S14_S15,-0.0016787483822547145,-0.020126649115985457,0.016769152351476028
2024Q1,P31_S14_S15,-0.0016787484466842923,-0.020126649557163038,0.016769152663794456
2024Q2,P31_S14_S15,-0.001678748513387316,-0.020126650007037415,0.016769152980262783
2024Q3,P31_S14_S15,-0.0016787485931609833,-0.02012665047611154,0.016769153289789573
2024Q4,P31_S14_S15,-0.0016787486663656552,-0.020126650944342444,0.016769153611611135
2025Q1,P31_S14_S15,-0.0016787487261288251,-0.020126651404304734,0.016769153952047085
2025Q2,P31_S14_S15,-0.0016787487660343903,-0.020126651848824437,0.016769154316755658
2025Q3,P31_S14_S15,-0.0016787487893039845,-0.020126652280084308,0.01676915470147634
2025Q4,P31_S14_S15,-0.0016787487893039847,-0.02012665269002665,0.01676915511141868
1996Q1,P3_S13,3.134914550173562e-05,-0.0826175502112313,0.08268024850223477
1996Q2,P3_S13,3.135204315185547e-05,3.135204315185547e-05,3.135204315185547e-05
1996Q3,P3_S13,3.134896172254931e-05,-0.0008944737260961577,0.0009571716495412563
1996Q4,P3_S13,3.1348952012663633e-05,-0.0008944734372150303,0.0009571713412403575
1997Q1,P3_S13,3.134894129981636e-05,-0.0008944731508504375,0.0009571710334500702
1997Q2,P3_S13,3.134893038509584e-05,-0.0008944728665378713,0.000957170727308063
1997Q3,P3_S13,3.134891548122257e-05,-0.0008944725883742547,0.0009571704193366998
1997Q4,P3_S13,3.1348900445662964e-05,-0.0008944723127847339,0.0009571701136760598
1998Q1,P3_S13,3.134888966400268e-05,-0.0008944720356524488,0.0009571698149804541
1998Q2,P3_S13,3.1348883384046955e-05,-0.0008944717569809645,0.0009571695237490585
1998Q3,P3_S13,3.134888130137438e-05,-0.000894471477310487,0.0009571692399132358
1998Q4,P3_S13,3.134888343989291e-05,-0.0008944711968385077,0.0009571689637182935
1999Q1,P3_S13,3.134888760817321e-05,-0.0008944709179638307,0.0009571686931801771
1999Q2,P3_S13,3.1348897294246336e-05,-0.0008944706373930271,0.0009571684319815198
1999Q3,P3_S13,3.1348911518391635e-05,-0.0008944703562883989,0.0009571681793251822
1999Q4,P3_S13,3.134893066320454e-05,-0.0008944700744384531,0.0009571679357648622
2000Q1,P3_S13,3.134895310080016e-05,-0.0008944697936316337,0.000957167699833234
2000Q2,P3_S13,3.1348977672653825e-05,-0.0008944695151769476,0.0009571674705222553
2000Q3,P3_S13,3.1349001449877505e-05,-0.0008944692421444537,0.0009571672450442088
2000Q4,P3_S13,3.134902841594664e-05,-0.0008944689706829977,0.000957167027514891
2001Q1,P3_S13,3.1349058715857955e-05,-0.0008944687007716632,0.0009571668182033791
2001Q2,P3_S13,3.134909558076462e-05,-0.0008944684292955812,0.0009571666204571105
2001Q3,P3_S13,3.134913965838963e-05,-0.0008944681557160678,0.0009571664350328471
2001Q4,P3_S13,3.1349189686379736e-05,-0.0008944678813976374,0.0009571662607703969
2002Q1,P3_S13,3.134924543290725e-05,-0.0008944676066678683,0.0009571660975336828
2002Q2,P3_S13,3.1349306045870085e-05,-0.0008944673324685665,0.0009571659445603068
2002Q3,P3_S13,3.134937223643857e-05,-0.0008944670581726061,0.0009571658026454832
2002Q4,P3_S13,3.1349443695942144e-05,-0.000894466784167365,0.0009571656715592492
2003Q1,P3_S13,3.134952034103633e-05,-0.0008944665106098799,0.0009571655512919527
2003Q2,P3_S13,3.134959917083682e-05,-0.0008944662405700359,0.0009571654389117096
2003Q3,P3_S13,3.1349678751379064e-05,-0.0008944659755463579,0.000957165333049116
2003Q4,P3_S13,3.1349764361072226e-05,-0.0008944657103208399,0.0009571652390429844
2004Q1,P3_S13,3.1349854961488285e-05,-0.0008944654459883948,0.0009571651559113713
2004Q2,P3_S13,3.1349948503554955e-05,-0.0008944651846508901,0.000957165081658
2004Q3,P3_S13,3.135004668860912e-05,-0.000894464924656314,0.0009571650180335322
2004Q4,P3_S13,3.135015411138444e-05,-0.0008944646614559836,0.0009571649696787525
2005Q1,P3_S13,3.1350267713762484e-05,-0.0008944643981509873,0.0009571649335785123
2005Q2,P3_S13,3.135038777018291e-05,-0.0008944641345069471,0.0009571649100473129
2005Q3,P3_S13,3.1350513475757224e-05,-0.0008944638713660669,0.0009571648983175814
2005Q4,P3_S13,3.135064110300302e-05,-0.0008944636124905517,0.0009571648946965578
2006Q1,P3_S13,3.13507734414929e-05,-0.0008944633551230992,0.000957164902006085
2006Q2,P3_S13,3.135091132872286e-05,-0.0008944630984561642,0.0009571649211136099
2006Q3,P3_S13,3.1351055872434546e-05,-0.0008944628414097578,0.000957164953154627
2006Q4,P3_S13,3.1351206048576196e-05,-0.0008944625850335989,0.0009571649971307513
2007Q1,P3_S13,3.1351364017333575e-05,-0.0008944623271911895,0.0009571650552258567
2007Q2,P3_S13,3.135152935875051e-05,-0.0008944620683242894,0.0009571651270417904
2007Q3,P3_S13,3.1351702703710804e-05,-0.0008944618078220222,0.0009571652132294439
2007Q4,P3_S13,3.1351882226501046e-05,-0.000894461547528397,0.0009571653119813991
2008Q1,P3_S13,3.1352065847676494e-05,-0.0008944612895395139,0.0009571654212348669
2008Q2,P3_S13,3.135225800785603e-05,-0.0008944610294298395,0.0009571655454455514
2008Q3,P3_S13,3.135245849781893e-05,-0.0008944607674221691,0.000957165684417807
2008Q4,P3_S13,3.135266662989485e-05,-0.0008944605042162947,0.0009571658374760844
2009Q1,P3_S13,3.135288091932144e-05,-0.0008944602413076948,0.0009571660031463376
2009Q2,P3_S13,3.135309888168303e-05,-0.0008944599811901408,0.0009571661789535068
2009Q3,P3_S13,3.1353317877807e-05,-0.0008944597265108358,0.0009571663622664498
2009Q4,P3_S13,3.13535381466772e-05,-0.0008944594770375388,0.0009571665533308932
2010Q1,P3_S13,3.135375757727199e-05,-0.0008944592348867501,0.0009571667500412941
2010Q2,P3_S13,3.135397444428028e-05,-0.0008944590017880194,0.00095716695067658
2010Q3,P3_S13,3.1354187445840464e-05,-0.0008944587790462231,0.0009571671539379041
2010Q4,P3_S13,3.135439815357124e-05,-0.0008944585650915469,0.0009571673613986894
2011Q1,P3_S13,3.135460688690004e-05,-0.0008944583596051638,0.0009571675733789639
2011Q2,P3_S13,3.135481321173139e-05,-0.0008944581630205684,0.0009571677894440312
2011Q3,P3_S13,3.1355014298279846e-05,-0.0008944579781657429,0.0009571680067623026
2011Q4,P3_S13,3.135520523160997e-05,-0.0008944578099526066,0.0009571682204158265
2012Q1,P3_S13,3.135538693129175e-05,-0.0008944576574573516,0.0009571684313199351
2012Q2,P3_S13,3.1355560348384284e-05,-0.00089445751972344,0.0009571686404202086
2012Q3,P3_S13,3.135572356300297e-05,-0.0008944573986640145,0.0009571688457900205
2012Q4,P3_S13,3.135587636138109e-05,-0.0008944572944848097,0.0009571690472075718
2013Q1,P3_S13,3.13560191000583e-05,-0.0008944572068199312,0.0009571692450200478
2013Q2,P3_S13,3.1356152255021487e-05,-0.0008944571351826755,0.0009571694396927184
2013Q3,P3_S13,3.135627649909875e-05,-0.0008944570788880935,0.000957169631886291
2013Q4,P3_S13,3.135638885232183e-05,-0.000894457040902578,0.0009571698186072216
2014Q1,P3_S13,3.1356491459446126e-05,-0.0008944570190662889,0.0009571700019851811
2014Q2,P3_S13,3.135658179314357e-05,-0.0008944570158898983,0.0009571701794761855
2014Q3,P3_S13,3.1356662834566384e-05,-0.0008944570283739591,0.0009571703540430919
2014Q4,P3_S13,3.13567365562322e-05,-0.0008944570545259453,0.0009571705276384097
2015Q1,P3_S13,3.135680590109257e-05,-0.000894457091381102,0.0009571707031832871
2015Q2,P3_S13,3.1356876600549706e-05,-0.0008944571331843397,0.0009571708863854391
2015Q3,P3_S13,3.1356953326281024e-05,-0.0008944571752383135,0.0009571710818908756
2015Q4,P3_S13,3.135703368034769e-05,-0.0008944572199132099,0.0009571712872739052
2016Q1,P3_S13,3.135711381261762e-05,-0.00089445727102921,0.0009571714986544453
2016Q2,P3_S13,3.135719666187547e-05,-0.0008944573256152584,0.0009571717189390093
2016Q3,P3_S13,3.135728019675491e-05,-0.0008944573856679989,0.0009571719460615087
2016Q4,P3_S13,3.1357365113476784e-05,-0.0008944574504538953,0.0009571721806808488
2017Q1,P3_S13,3.1357454429601253e-05,-0.0008944575169153263,0.0009571724257745288
2017Q2,P3_S13,3.1357544513175954e-05,-0.0008944575886412751,0.000957172677667627
2017Q3,P3_S13,3.135763050919388e-05,-0.0008944576704406958,0.0009571729314590835
2017Q4,P3_S13,3.135771377210943e-05,-0.0008944577609098099,0.0009571731884540287
2018Q1,P3_S13,3.1357795079457e-05,-0.0008944578592182866,0.0009571734493772006
2018Q2,P3_S13,3.135787438750872e-05,-0.0008944579653533695,0.000957173714128387
2018Q3,P3_S13,3.1357952359669755e-05,-0.0008944580785912526,0.0009571739833105921
2018Q4,P3_S13,3.135802738835048e-05,-0.0008944582004749601,0.000957174255251661
2019Q1,P3_S13,3.1358096208243785e-05,-0.0008944583342008069,0.0009571745266172946
2019Q2,P3_S13,3.135815888446829e-05,-0.0008944584796299747,0.0009571747973989113
2019Q3,P3_S13,3.135821348248884e-05,-0.0008944586386182903,0.000957175065583268
2019Q4,P3_S13,3.1358256386987806e-05,-0.0008944588146970332,0.0009571753274710089
2020Q1,P3_S13,3.135828920297341e-05,-0.0008944590061714872,0.000957175584577434
2020Q2,P3_S13,3.135831354662415e-05,-0.0008944592113297267,0.0009571758384229751
2020Q3,P3_S13,3.135833213544745e-05,-0.0008944594273520715,0.0009571760916229665
2020Q4,P3_S13,3.135834427152217e-05,-0.0008944596548274255,0.0009571763433704699
2021Q1,P3_S13,3.1358350034406374e-05,-0.0008944598935599254,0.0009571765936287382
2021Q2,P3_S13,3.135834869011321e-05,-0.0008944601441594912,0.0009571768415397177
2021Q3,P3_S13,3.135833976342149e-05,-0.0008944604069690098,0.0009571770864958528
2021Q4,P3_S13,3.135832552615797e-05,-0.0008944606795755135,0.0009571773306278295
2022Q1,P3_S13,3.1358305714922595e-05,-0.0008944609620918792,0.0009571775735217243
2022Q2,P3_S13,3.135828168998957e-05,-0.0008944612529973143,0.0009571778163772935
2022Q3,P3_S13,3.13582547475757e-05,-0.0008944615508244348,0.0009571780603195862
2022Q4,P3_S13,3.135823091916711e-05,-0.0008944618493592393,0.0009571783111975736
2023Q1,P3_S13,3.135820661901044e-05,-0.0008944621519928765,0.0009571785652308973
2023Q2,P3_S13,3.1358184931943464e-05,-0.0008944624554330197,0.0009571788252969066
2023Q3,P3_S13,3.135816604617802e-05,-0.0008944627592702384,0.0009571790913625944
2023Q4,P3_S13,3.135815038478478e-05,-0.0008944630628456137,0.0009571793636151833
2024Q1,P3_S13,3.13581341134855e-05,-0.0008944633697419829,0.0009571796379689539
2024Q2,P3_S13,3.135811633527008e-05,-0.0008944636805882993,0.0009571799132588395
2024Q3,P3_S13,3.1358099713571174e-05,-0.0008944639924353648,0.0009571801918625071
2024Q4,P3_S13,3.1358084467835416e-05,-0.0008944643047590936,0.0009571804736947644
2025Q1,P3_S13,3.1358071306981526e-05,-0.0008944646165258139,0.000957180759139777
2025Q2,P3_S13,3.135805983174459e-05,-0.0008944649277885995,0.0009571810474520887
2025Q3,P3_S13,3.135805388537668e-05,-0.0008944652343351582,0.0009571813421059116
2025Q4,P3_S13,3.1358053885376704e-05,-0.0008944655353545986,0.0009571816431253521
1996Q1,P51G,-0.001360093371260973,-0.001360093371260973,-0.001360093371260973
1996Q2,P51G,-0.001360093243420124,-0.001360093243420124,-0.001360093243420124
1996Q3,P51G,-0.0013600922926559345,-0.008472172095352335,0.0057519875100404665
1996Q4,P51G,-0.0013600920815666218,-0.008472168028685511,0.005751983865552268
1997Q1,P51G,-0.0013600919725344496,-0.008472164098803725,0.0057519801537348255
1997Q2,P51G,-0.0013600918732146403,-0.008472160219052335,0.005751976472623055
1997Q3,P51G,-0.0013600917781819884,-0.008472156388843424,0.005751972832479448
1997Q4,P51G,-0.0013600916915633872,-0.008472152616417717,0.005751969233290943
1998Q1,P51G,-0.0013600916264161454,-0.00847214891833208,0.0057519656654997885
1998Q2,P51G,-0.0013600915879432296,-0.008472145302764583,0.005751962126878124
1998Q3,P51G,-0.0013600915137414607,-0.008472141709841351,0.00575195868235843
1998Q4,P51G,-0.0013600913624951493,-0.008472138100397174,0.005751955375406876
1999Q1,P51G,-0.0013600911203292647,-0.008472134462385338,0.005751952221726808
1999Q2,P51G,-0.0013600908834169789,-0.008472130893533707,0.00575194912669975
1999Q3,P51G,-0.0013600906077398424,-0.00847212735114564,0.005751946135665955
1999Q4,P51G,-0.001360090355552946,-0.008472123898600028,0.0057519431874941355
2000Q1,P51G,-0.0013600900292152262,-0.008472120439211342,0.00575194038078089
2000Q2,P51G,-0.0013600897416435175,-0.00847211708670883,0.0057519376034217955
2000Q3,P51G,-0.00136008950444628,-0.008472113853391677,0.005751934844499117
2000Q4,P51G,-0.001360089318475379,-0.008472110740699049,0.005751932103748291
2001Q1,P51G,-0.00136008930407106,-0.008472107869470525,0.0057519292613284045
2001Q2,P51G,-0.0013600893134451376,-0.008472105092342459,0.005751926465452185
2001Q3,P51G,-0.0013600892223504324,-0.008472102285428645,0.005751923840727779
2001Q4,P51G,-0.0013600890747679489,-0.008472099493016985,0.0057519213434810874
2002Q1,P51G,-0.0013600888028729367,-0.008472096647543654,0.005751919041797782
2002Q2,P51G,-0.0013600883690168273,-0.008472093711581943,0.005751916973548287
2002Q3,P51G,-0.0013600880038061461,-0.008472090915926996,0.005751914908314703
2002Q4,P51G,-0.0013600876780959382,-0.008472088231594226,0.005751912875402349
2003Q1,P51G,-0.001360087391847464,-0.008472085658681242,0.005751910874986313
2003Q2,P51G,-0.0013600871327318033,-0.00847208318497505,0.005751908919511443
2003Q3,P51G,-0.0013600869934764191,-0.008472080903301676,0.005751906916348837
2003Q4,P51G,-0.0013600869967178566,-0.008472078836381453,0.00575190484294574
2004Q1,P51G,-0.0013600871602632647,-0.008472077002092775,0.005751902681566246
2004Q2,P51G,-0.0013600873875260807,-0.008472075303909643,0.005751900528857481
2004Q3,P51G,-0.0013600876570501747,-0.008472073720427423,0.005751898406327073
2004Q4,P51G,-0.0013600879775255417,-0.008472072260379881,0.005751896305328798
2005Q1,P51G,-0.001360088225929041,-0.008472070800781089,0.005751894348923006
2005Q2,P51G,-0.0013600884571679807,-0.008472069396569987,0.005751892482234027
2005Q3,P51G,-0.0013600887110013673,-0.008472068087532477,0.0057518906655297415
2005Q4,P51G,-0.0013600891507548748,-0.008472067037017084,0.005751888735507333
2006Q1,P51G,-0.0013600896517136714,-0.008472066120328395,0.005751886816901053
2006Q2,P51G,-0.001360090141602632,-0.008472065265207794,0.005751884982002531
2006Q3,P51G,-0.0013600905516363792,-0.008472064402883927,0.0057518832996111685
2006Q4,P51G,-0.0013600908322193455,-0.008472063483773135,0.005751881819334443
2007Q1,P51G,-0.0013600909787919759,-0.00847206250332597,0.005751880545742018
2007Q2,P51G,-0.0013600909728236179,-0.008472061443020363,0.005751879497373128
2007Q3,P51G,-0.001360090833344763,-0.00847206032189408,0.005751878655204556
2007Q4,P51G,-0.0013600905711532024,-0.008472059150751079,0.005751878008444674
2008Q1,P51G,-0.0013600901702989976,-0.008472057913646629,0.0057518775730486344
2008Q2,P51G,-0.0013600894793895707,-0.00847205645919256,0.005751877500413418
2008Q3,P51G,-0.0013600884251742866,-0.008472054714141943,0.005751877863793369
2008Q4,P51G,-0.0013600870699067675,-0.00847205274075151,0.005751878600937974
2009Q1,P51G,-0.0013600855144746446,-0.008472050639911485,0.005751879610962196
2009Q2,P51G,-0.0013600838614227528,-0.008472048514168856,0.0057518807913233515
2009Q3,P51G,-0.0013600820052527686,-0.008472046258027057,0.005751882247521519
2009Q4,P51G,-0.0013600799351989766,-0.008472043860721791,0.005751883990323839
2010Q1,P51G,-0.00136007767473657,-0.008472041345729361,0.005751885996256222
2010Q2,P51G,-0.0013600752740899535,-0.00847203876327501,0.0057518882150951025
2010Q3,P51G,-0.001360072845653329,-0.008472036225753515,0.0057518905344468565
2010Q4,P51G,-0.001360070410234832,-0.00847203375397336,0.005751892933503695
2011Q1,P51G,-0.001360067906432904,-0.008472031286533096,0.005751895473667288
2011Q2,P51G,-0.0013600653738844674,-0.008472028863069532,0.005751898115300597
2011Q3,P51G,-0.001360062837644534,-0.008472026508637338,0.0057519008333482705
2011Q4,P51G,-0.0013600603217984036,-0.008472024247321238,0.005751903603724431
2012Q1,P51G,-0.001360057823685869,-0.008472022076460181,0.005751906429088443
2012Q2,P51G,-0.0013600554676309311,-0.008472020120377063,0.0057519091851152
2012Q3,P51G,-0.0013600532773308778,-0.008472018402767751,0.005751911848105995
2012Q4,P51G,-0.0013600513279101714,-0.00847201699875495,0.005751914342934606
2013Q1,P51G,-0.0013600495672566717,-0.008472015856224369,0.005751916721711026
2013Q2,P51G,-0.0013600480642240427,-0.008472015044027078,0.005751918915578993
2013Q3,P51G,-0.0013600467995420924,-0.008472014542889776,0.005751920943805592
2013Q4,P51G,-0.0013600456933909031,-0.008472014272988835,0.005751922886207029
2014Q1,P51G,-0.0013600447987247382,-0.008472014287274118,0.005751924689824642
2014Q2,P51G,-0.0013600441219994925,-0.008472014592196306,0.005751926348197321
2014Q3,P51G,-0.0013600436224946392,-0.008472015147028705,0.005751927902039426
2014Q4,P51G,-0.0013600432766198212,-0.008472015928173685,0.005751929374934043
2015Q1,P51G,-0.0013600431301903641,-0.008472016981437994,0.005751930721057265
2015Q2,P51G,-0.0013600431376763265,-0.008472018261281576,0.005751931985928922
2015Q3,P51G,-0.0013600431546221207,-0.008472019623236933,0.005751933313992692
2015Q4,P51G,-0.0013600431865369602,-0.00847202107279926,0.005751934699725339
2016Q1,P51G,-0.0013600432353119037,-0.00847202261184311,0.005751936141219303
2016Q2,P51G,-0.0013600433593877182,-0.008472024298789828,0.005751937580014392
