quarter,factor,lo90,hi90
2017Q2,-0.17772282469751333,-0.5412312823813475,0.1857856329863209
2017Q3,0.15338788218405536,-0.21012057549977886,0.5168963398678896
2017Q4,0.25033633497271485,-0.11317212271111937,0.6138447926565491
2018Q1,0.09196440549898596,-0.27154405218484823,0.4554728631828202
2018Q2,-0.0021861780448187724,-0.365694635728653,0.3613222796390154
2018Q3,-0.3153806385776738,-0.678889096261508,0.04812781910616043
2018Q4,0.29986341693511537,-0.06364504074871885,0.6633718746189496
2019Q1,0.6519848351507335,0.28847637746689925,1.0154932928345677
2019Q2,-0.43844922653648155,-0.8019576842203158,-0.07494076885264733
2019Q3,0.02861855611867716,-0.3348899015651571,0.39212701380251136
2019Q4,0.06628815070629612,-0.2972203069775381,0.42979660839013034
2020Q1,-0.8555459896896311,-1.2190544473734652,-0.4920375320057969
2020Q2,-7.516480344991834,-7.879988802675668,-7.1529718873079995
2020Q3,7.029987614316797,6.666479156632962,7.393496072000631
2020Q4,0.6127801137324521,0.2492716560486179,0.9762885714162863
2021Q1,-0.5163883841051243,-0.8798968417889586,-0.1528799264212901
2021Q2,0.20444963348532152,-0.1590588241985127,0.5679580911691557
2021Q3,1.1762801395921472,0.812771681908313,1.5397885972759813
2021Q4,0.7555226677379698,0.3920142100541356,1.1190311254218042
2022Q1,0.17095020311801815,-0.19255825456581607,0.5344586608018523
2022Q2,0.2567934857877926,-0.10671497189604162,0.6203019434716268
2022Q3,0.1799543604269023,-0.18355409725693192,0.5434628181107365
2022Q4,-0.20428557523698038,-0.5677940329208147,0.15922288244685384
2023Q1,0.22910390444188833,-0.1344045532419459,0.5926123621257225
2023Q2,-0.27451522595575356,-0.6380236836395878,0.08899323172808066
2023Q3,-0.16397477591184445,-0.5274832335956787,0.19953368177198977
2023Q4,0.1304545401269214,-0.23305391755691282,0.4939629978107556
2024Q1,-0.04740194701167402,-0.4109104046955082,0.3161065106721602
2024Q2,0.3845578790236394,0.021049421339805197,0.7480663367074736
2024Q3,0.17959067227743372,-0.18391778540650136,0.5430991299613688
2024Q4,-0.02135416899592211,-0.3848626267325956,0.3421542887407513
2025Q1,-0.06447719026106091,-0.4279856756723204,0.29903129515019855
2025Q2,-0.07025559039910925,-0.4337785977537706,0.29326741695555214
2025Q3,0.2434141372867852,-0.12765086855992533,0.6144791431334957
