quarter,prob_regime0,prob_regime1,prob_low_growth
2019Q3,0.9903226668732643,0.009677333126735492,0.009677333126735492
2019Q4,0.8977015854541867,0.10229841454581312,0.10229841454581312
2020Q1,3.2068059083842035e-11,0.9999999999679314,0.9999999999679314
2020Q2,4.007434701113505e-124,0.9999999999999994,0.9999999999999994
2020Q3,4.043477893733231e-97,0.9999999999999996,0.9999999999999996
2020Q4,0.09754562209586873,0.9024543779041307,0.9024543779041307
2021Q1,1.367828890744329e-06,0.9999986321711087,0.9999986321711087
2021Q2,3.503315999520974e-10,0.999999999649668,0.999999999649668
2021Q3,0.00011810285775723354,0.9998818971422424,0.9998818971422424
2021Q4,0.45062148425805587,0.5493785157419437,0.5493785157419437
2022Q1,0.8825639527661024,0.11743604723389738,0.11743604723389738
2022Q2,0.9884796296553793,0.011520370344620615,0.011520370344620615
2022Q3,0.9971286198146858,0.002871380185314039,0.002871380185314039
2022Q4,0.9987160380964976,0.0012839619035023109,0.0012839619035023109
2023Q1,0.9980710261172208,0.001928973882778997,0.001928973882778997
2023Q2,0.9989187607876697,0.0010812392123302338,0.0010812392123302338
2023Q3,0.9987886192756495,0.0012113807243505172,0.0012113807243505172
2023Q4,0.9989444559547894,0.0010555440452105526,0.0010555440452105526
2024Q1,0.9990077364111617,0.0009922635888384784,0.0009922635888384784
2024Q2,0.9989996879766618,0.0010003120233382677,0.0010003120233382677
2024Q3,0.9988090594005206,0.0011909405994795623,0.0011909405994795623
2024Q4,0.9981246620783892,0.001875337921610847,0.001875337921610847
2025Q1,0.9976671783598818,0.0023328216401182957,0.0023328216401182957
2025Q2,0.9985908058793225,0.0014091941206776943,0.0014091941206776943
2025Q3,0.9959038246217387,0.004096175378261366,0.004096175378261366
